MatrixID	OrganismID	Initial Value	Lag	Maximum Rate	Final Value
beef	ec	{'A': 0.0, 'Ea': 0.0, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 1.026493543806977e-15, 'Ea': -90203.14725487767, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 115715004210.99634, 'Ea': 67674.5546231372, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 9.0, 'Ea': 0.0, 'R': 8.314462618, 'x_in_celsius': 1.0}
beef	lm	{'A': 0.0, 'Ea': 0.0, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 1.003979014741377e-12, 'Ea': -73616.9925670495, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 9657897.16587587, 'Ea': 44584.11570243458, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 9.0, 'Ea': 0.0, 'R': 8.314462618, 'x_in_celsius': 1.0}
beef	ss	{'A': 0.0, 'Ea': 0.0, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 3.1683783520244984e-12, 'Ea': -71930.58307703499, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 15458624529.424244, 'Ea': 63669.321433177574, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 9.0, 'Ea': 0.0, 'R': 8.314462618, 'x_in_celsius': 1.0}
beef	ta	{'A': 0.0, 'Ea': 0.0, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 7.718973305940506e-12, 'Ea': -68482.5180650728, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 3476719.255844464, 'Ea': 40877.42895204779, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 9.0, 'Ea': 0.0, 'R': 8.314462618, 'x_in_celsius': 1.0}
pork	ec	{'A': 0.0, 'Ea': 0.0, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 1.2288977481125243e-09, 'Ea': -57708.437527307826, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 3600790367.2105, 'Ea': 59307.22803611394, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 9.0, 'Ea': 0.0, 'R': 8.314462618, 'x_in_celsius': 1.0}
pork	lm	{'A': 0.0, 'Ea': 0.0, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 2.1195082564961831e-13, 'Ea': -76320.60438632473, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 4570.868147504956, 'Ea': 24676.030447767338, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 9.0, 'Ea': 0.0, 'R': 8.314462618, 'x_in_celsius': 1.0}
pork	ss	{'A': 0.0, 'Ea': 0.0, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 1.6604721143910774e-14, 'Ea': -84018.28076236378, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 643952921351.8917, 'Ea': 72370.5174826216, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 9.0, 'Ea': 0.0, 'R': 8.314462618, 'x_in_celsius': 1.0}
pork	ta	{'A': 0.0, 'Ea': 0.0, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 2.5661266570196692e-11, 'Ea': -65423.25164394435, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 1975369.7144628842, 'Ea': 39231.28372287854, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 9.0, 'Ea': 0.0, 'R': 8.314462618, 'x_in_celsius': 1.0}
poultry	ec	{'A': 0.0, 'Ea': 0.0, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 9.206611685291254e-10, 'Ea': -58340.12668567091, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 358793990.0137579, 'Ea': 54331.23583349207, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 9.0, 'Ea': 0.0, 'R': 8.314462618, 'x_in_celsius': 1.0}
poultry	lm	{'A': 0.0, 'Ea': 0.0, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 3.8430024948449765e-08, 'Ea': -48843.712380374775, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 5543.729822313409, 'Ea': 25964.918390565424, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 9.0, 'Ea': 0.0, 'R': 8.314462618, 'x_in_celsius': 1.0}
poultry	ss	{'A': 0.0, 'Ea': 0.0, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 3.807845549659659e-12, 'Ea': -70736.36259259713, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 1545547.5720871089, 'Ea': 39656.451642612694, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 9.0, 'Ea': 0.0, 'R': 8.314462618, 'x_in_celsius': 1.0}
poultry	ta	{'A': 0.0, 'Ea': 0.0, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 6.431996446873817e-17, 'Ea': -95422.07721866926, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 154152427.07260022, 'Ea': 50425.14628235267, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 9.0, 'Ea': 0.0, 'R': 8.314462618, 'x_in_celsius': 1.0}
seafood	ec	{'A': 0.0, 'Ea': 0.0, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 1.026493543806977e-15, 'Ea': -90203.14725487767, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 239426306.85250846, 'Ea': 52007.08917105274, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 9.0, 'Ea': 0.0, 'R': 8.314462618, 'x_in_celsius': 1.0}
seafood	lm	{'A': 0.0, 'Ea': 0.0, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 1.4830891724152982e-14, 'Ea': -83204.33704139318, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 1523892.1982326484, 'Ea': 39672.9126181071, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 9.0, 'Ea': 0.0, 'R': 8.314462618, 'x_in_celsius': 1.0}
seafood	ss	{'A': 0.0, 'Ea': 0.0, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 1.6604721143910774e-14, 'Ea': -84018.28076236378, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 115337784.6842911, 'Ea': 50770.09877083938, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 9.0, 'Ea': 0.0, 'R': 8.314462618, 'x_in_celsius': 1.0}
seafood	ta	{'A': 0.0, 'Ea': 0.0, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 1.4393778071595532e-12, 'Ea': -70116.91423505201, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 203264.87626958842, 'Ea': 33434.60710674617, 'R': 8.314462618, 'x_in_celsius': 1.0}	{'A': 9.0, 'Ea': 0.0, 'R': 8.314462618, 'x_in_celsius': 1.0}
