MatrixID	OrganismID	Temperature	Initial Value	Lag	Maximum Rate	Final Value
beef	ec	4.0	0.0	120.0	0.015	9.0
beef	ec	6.0	0.0	90.0	0.02	9.0
beef	ec	10.0	0.0	40.0	0.056	9.0
beef	ec	20.0	0.0	8.0	0.155	9.0
beef	ec	37.0	0.0	2.0	0.35	9.0
beef	lm	4.0	0.0	90.0	0.025	9.0
beef	lm	6.0	0.0	70.0	0.053	9.0
beef	lm	10.0	0.0	30.0	0.065	9.0
beef	lm	20.0	0.0	10.0	0.15	9.0
beef	lm	37.0	0.0	3.0	0.246	9.0
beef	ss	4.0	0.0	140.0	0.01	9.0
beef	ss	6.0	0.0	100.0	0.016	9.0
beef	ss	10.0	0.0	50.0	0.04	9.0
beef	ss	20.0	0.0	15.0	0.129	9.0
beef	ss	37.0	0.0	5.0	0.201	9.0
beef	ta	4.0	0.0	78.0	0.054	9.0
beef	ta	6.0	0.0	48.0	0.077	9.0
beef	ta	10.0	0.0	30.0	0.122	9.0
beef	ta	20.0	0.0	10.0	0.22	9.0
beef	ta	37.0	0.0	3.0	0.395	9.0
pork	ec	4.0	0.0	120.0	0.015	9.0
pork	ec	6.0	0.0	90.0	0.031	9.0
pork	ec	10.0	0.0	40.0	0.05	9.0
pork	ec	20.0	0.0	17.0	0.161	9.0
pork	ec	37.0	0.0	8.0	0.274	9.0
pork	lm	4.0	0.0	70.0	0.066	9.0
pork	lm	6.0	0.0	40.0	0.124	9.0
pork	lm	10.0	0.0	24.0	0.181	9.0
pork	lm	20.0	0.0	5.0	0.204	9.0
pork	lm	37.0	0.0	2.0	0.28	9.0
pork	ss	4.0	0.0	140.0	0.01	9.0
pork	ss	6.0	0.0	100.0	0.016	9.0
pork	ss	10.0	0.0	45.0	0.04	9.0
pork	ss	20.0	0.0	10.0	0.14	9.0
pork	ss	37.0	0.0	3.0	0.3	9.0
pork	ta	4.0	0.0	80.0	0.061	9.0
pork	ta	6.0	0.0	60.0	0.101	9.0
pork	ta	10.0	0.0	20.0	0.133	9.0
pork	ta	20.0	0.0	6.0	0.22	9.0
pork	ta	37.0	0.0	4.0	0.45	9.0
poultry	ec	4.0	0.0	120.0	0.015	9.0
poultry	ec	6.0	0.0	90.0	0.02	9.0
poultry	ec	10.0	0.0	40.0	0.05	9.0
poultry	ec	20.0	0.0	15.0	0.113	9.0
poultry	ec	37.0	0.0	8.0	0.193	9.0
poultry	lm	4.0	0.0	80.0	0.052	9.0
poultry	lm	6.0	0.0	60.0	0.09	9.0
poultry	lm	10.0	0.0	30.0	0.109	9.0
poultry	lm	20.0	0.0	14.0	0.133	9.0
poultry	lm	37.0	0.0	8.0	0.222	9.0
poultry	ss	4.0	0.0	100.0	0.04	9.0
poultry	ss	6.0	0.0	80.0	0.062	9.0
poultry	ss	10.0	0.0	34.0	0.094	9.0
poultry	ss	20.0	0.0	10.0	0.14	9.0
poultry	ss	37.0	0.0	4.0	0.3	9.0
poultry	ta	4.0	0.0	75.0	0.028	9.0
poultry	ta	6.0	0.0	60.0	0.069	9.0
poultry	ta	10.0	0.0	20.0	0.101	9.0
poultry	ta	20.0	0.0	4.0	0.214	9.0
poultry	ta	37.0	0.0	1.0	0.399	9.0
seafood	ec	4.0	0.0	120.0	0.033	9.0
seafood	ec	6.0	0.0	90.0	0.041	9.0
seafood	ec	10.0	0.0	40.0	0.065	9.0
seafood	ec	20.0	0.0	8.0	0.18	9.0
seafood	ec	37.0	0.0	2.0	0.35	9.0
seafood	lm	4.0	0.0	88.0	0.037	9.0
seafood	lm	6.0	0.0	62.0	0.061	9.0
seafood	lm	10.0	0.0	30.0	0.093	9.0
seafood	lm	20.0	0.0	6.0	0.15	9.0
seafood	lm	37.0	0.0	2.0	0.28	9.0
seafood	ss	4.0	0.0	140.0	0.024	9.0
seafood	ss	6.0	0.0	100.0	0.041	9.0
seafood	ss	10.0	0.0	45.0	0.057	9.0
seafood	ss	20.0	0.0	10.0	0.113	9.0
seafood	ss	37.0	0.0	3.0	0.3	9.0
seafood	ta	4.0	0.0	30.0	0.077	9.0
seafood	ta	6.0	0.0	16.0	0.117	9.0
seafood	ta	10.0	0.0	12.0	0.189	9.0
seafood	ta	20.0	0.0	4.0	0.22	9.0
seafood	ta	37.0	0.0	1.0	0.45	9.0
